LunaDevTab_ReloadAllResources_Hint,LunaDevTab_ReloadAllResources_Hint,LunaDevTab_ReloadAllResources_Hint,LunaDevTab_ReloadAllResources_Hint
LunaDevTab_UpdateRemoteResources_Hint,LunaDevTab_UpdateRemoteResources_Hint,LunaDevTab_UpdateRemoteResources_Hint,LunaDevTab_UpdateRemoteResources_Hint
LunaDevTab_CheckDocLinks_Hint,LunaDevTab_CheckDocLinks_Hint,LunaDevTab_CheckDocLinks_Hint,LunaDevTab_CheckDocLinks_Hint
,,,
Basic_ProjectSettings_StaticBatching,Static Batching,Статический Батчинг,Static Batching
Basic_ProjectSettings_StaticBatching_Hint,"Static Batching is an optimization technique used in rendering to reduce draw call overhead by combining static GameObjects into a single mesh. This allows multiple objects that share the same material to be rendered in a single draw call, improving rendering performance.","Статический Батчинг - это метод оптимизации, используемый при рендеринге для уменьшения кол-ва вызовов отрисовки путем объединения мешей статических объектов в один меш.","Static Batching is an optimization technique used in rendering to reduce draw call overhead by combining static GameObjects into a single mesh. This allows multiple objects that share the same material to be rendered in a single draw call, improving rendering performance."
,,,
ProjectDiagnostics_LP_TextMeshProNoEssentials_Details,"TextMeshPro Essentials have not been imported into your project.
Without these resources TextMeshPro elements may not be rendered correctly or may show missing references.
To fix this, go to Window > TextMeshPro > Import TMP Essential Resources and complete the import process","В проект не были импортированы ресурсы TextMeshPro Essentials.
Без них некоторые TextMeshPro элементы могут отображаться некорректно или содержать отсутствующие ссылки.
Чтобы исправить это, откройте меню Window > TextMeshPro > Import TMP Essential Resources и выполните импорт.
","TextMeshPro Essentials have not been imported into your project.
Without these resources TextMeshPro elements may not be rendered correctly or may show missing references.
To fix this, go to Window > TextMeshPro > Import TMP Essential Resources and complete the import process"
ProjectDiagnostics_LP_TextMeshProNoEssentials_Description,TextMeshPro Essentials are missing,Отсутствуют ресурсы TextMeshPro Essentials,TextMeshPro Essentials are missing
Meshes_UseSimplification,Reduce mesh complexity,Уменьшить сложность меша,Reduce mesh complexity
Meshes_UseSimplificationShort,Reduce mesh,Уменьшить меш,Reduce mesh
Meshes_UseSimplification_Hint,This will instruct Unity Playworks Plugin to reduce the mesh size by lowering the number of vertices in the mesh while trying to keep the mesh's original shape,"Эта опция позволит плагину Unity Playworks уменьшить размер меша, сократив количество вершин, при этом стараясь сохранить исходную форму меша.",This will instruct Unity Playworks Plugin to reduce the mesh size by lowering the number of vertices in the mesh while trying to keep the mesh's original shape
